filename,true_label,predicted_label,confidence,top2_alternative,review_status
product\product (48).webp,Product Photography,Product Photography,0.9500,Portraits Photography,auto
product\product (49).webp,Product Photography,Product Photography,0.9500,Portraits Photography,auto
product\product (5).webp,Product Photography,Product Photography,0.6249,Street Photography,review
product\product (50).webp,Product Photography,Product Photography,0.9500,Portraits Photography,auto
product\product (51).webp,Product Photography,Product Photography,0.9500,Portraits Photography,auto
product\product (52).webp,Product Photography,Product Photography,0.9500,Portraits Photography,auto
product\product (53).webp,Product Photography,Product Photography,0.8005,Portraits Photography,auto
product\product (54).webp,Product Photography,Product Photography,0.9500,Portraits Photography,auto
product\product (55).webp,Product Photography,Product Photography,0.9500,Nature Photography,auto
product\product (56).webp,Product Photography,Product Photography,0.9500,Nature Photography,auto
product\product (57).webp,Product Photography,Product Photography,0.8210,Nature Photography,auto
product\product (58).webp,Product Photography,Product Photography,0.9500,Portraits Photography,auto
product\product (6).webp,Product Photography,Product Photography,0.7537,Street Photography,review
product\product (7).webp,Product Photography,Product Photography,0.8746,Street Photography,auto
product\product (8).webp,Product Photography,Product Photography,0.7275,Street Photography,review
product\product (9).webp,Product Photography,Product Photography,0.6580,Street Photography,review
